"IATA","ICAO","Airport name","Country","City","Information"
"PEY","YPNG","Penong Airport","Australia","Penong","https://www.worlddata.info/oceania/australia/airports.php"
"PEZ","UWPP","Penza Airport","Russia","Penza","https://www.worlddata.info/europe/russia/airports.php"
"PFB","SBPF","Lauro Kurtz Airport","Brazil","Passo Fundo","https://www.worlddata.info/america/brazil/airports.php"
"PFC",,"Pacific City State Airport","United States of America","Pacific City","https://www.worlddata.info/america/usa/airports.php"
"PFJ","BIPA","Patreksfjörður Airport","Iceland","Patreksfjörður","https://www.worlddata.info/europe/iceland/airports.php"
"PFO","LCPH","Paphos International Airport","Cyprus","Paphos","https://www.worlddata.info/asia/cyprus/airports.php"
"PFQ","OITP","Parsabad-Moghan Airport","Iran","Parsabad","https://www.worlddata.info/asia/iran/airports.php"
"PFR","FZVS","Ilebo Airport","Democratic Republic of the Congo","Ilebo","https://www.worlddata.info/africa/congo-kinshasa/airports.php"
"PGA","KPGA","Page Municipal Airport","United States of America","Page","https://www.worlddata.info/america/usa/airports.php"
"PGB","AYPC","Pangoa Airport","Papua New Guinea","Pangoa","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"PGC",,"Grant County Airport","United States of America","Petersburg","https://www.worlddata.info/america/usa/airports.php"
"PGD","KPGD","Punta Gorda Airport","United States of America","Punta Gorda","https://www.worlddata.info/america/usa/airports.php"
"PGE",,"Yegepa Airport","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"PGF","LFMP","Perpignan-Rivesaltes (Llabanère) Airport","France","Perpignan/Rivesaltes","https://www.worlddata.info/europe/france/airports.php"
"PGH","VIPT","Pantnagar Airport","India","Pantnagar","https://www.worlddata.info/asia/india/airports.php"
"PGI","FNCH","Chitato Airport","Angola","Chitato","https://www.worlddata.info/africa/angola/airports.php"
"PGK","WIPK","Depati Amir Airport","Indonesia","Pangkal Pinang","https://www.worlddata.info/asia/indonesia/airports.php"
"PGL","KPQL","Trent Lott International Airport","United States of America","Pascagoula","https://www.worlddata.info/america/usa/airports.php"
"PGM",,"Port Graham Airport","United States of America","Port Graham","https://www.worlddata.info/america/usa/airports.php"
"PGN","AYPG","Pangia Airport","Papua New Guinea","Pangia","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"PGO","KPSO","Stevens Field","United States of America","Pagosa Springs","https://www.worlddata.info/america/usa/airports.php"
"PGQ","WAME","Buli Airport","Indonesia","Pekaulang","https://www.worlddata.info/asia/indonesia/airports.php"
"PGR","KPGR","Kirk Field","United States of America","Paragould","https://www.worlddata.info/america/usa/airports.php"
"PGU","OIBP","Persian Gulf International Airport","Iran","Khiyaroo","https://www.worlddata.info/asia/iran/airports.php"
"PGV","KPGV","Pitt-Greenville Airport","United States of America","Greenville","https://www.worlddata.info/america/usa/airports.php"
"PGX","LFBX","Périgueux-Bassillac Airport","France","Périgueux/Bassillac","https://www.worlddata.info/europe/france/airports.php"
"PGZ","SSZW","Ponta Grossa Airport - Comandante Antonio Amilton Beraldo","Brazil","Ponta Grossa","https://www.worlddata.info/america/brazil/airports.php"
"PHA","VVPR","Phan Rang Airport","Vietnam","Phan Rang","https://www.worlddata.info/asia/vietnam/airports.php"
"PHB","SBPB","Parnaíba - Prefeito Doutor João Silva Filho International Airport","Brazil","Parnaíba","https://www.worlddata.info/america/brazil/airports.php"
"PHC","DNPO","Port Harcourt International Airport","Nigeria","Port Harcourt","https://www.worlddata.info/africa/nigeria/airports.php"
"PHD","KPHD","Harry Clever Field","United States of America","New Philadelphia","https://www.worlddata.info/america/usa/airports.php"
"PHE","YPPD","Port Hedland International Airport","Australia","Port Hedland","https://www.worlddata.info/oceania/australia/airports.php"
"PHF","KPHF","Newport News Williamsburg International Airport","United States of America","Newport News","https://www.worlddata.info/america/usa/airports.php"
"PHG",,"Port Harcourt City Airport / Port Harcourt Air Force Base","Nigeria","Port Harcourt","https://www.worlddata.info/africa/nigeria/airports.php"
"PHI","SNYE","Pinheiro Airport","Brazil","Pinheiro","https://www.worlddata.info/america/brazil/airports.php"
"PHK","KPHK","Palm Beach County Glades Airport","United States of America","Pahokee","https://www.worlddata.info/america/usa/airports.php"
"PHL","KPHL","Philadelphia International Airport","United States of America","Philadelphia","https://www.worlddata.info/america/usa/airports.php"
"PHN","KPHN","St Clair County International Airport","United States of America","Port Huron","https://www.worlddata.info/america/usa/airports.php"
"PHO","PAPO","Point Hope Airport","United States of America","Point Hope","https://www.worlddata.info/america/usa/airports.php"
"PHP","KPHP","Philip Airport","United States of America","Philip","https://www.worlddata.info/america/usa/airports.php"
"PHQ","YTMO","The Monument Airport","Australia","Phosphate Hill","https://www.worlddata.info/oceania/australia/airports.php"
"PHS","VTPP","Phitsanulok Airport","Thailand","Phitsanulok","https://www.worlddata.info/asia/thailand/airports.php"
"PHT","KPHT","Henry County Airport","United States of America","Paris","https://www.worlddata.info/america/usa/airports.php"
"PHW","FAPH","Hendrik Van Eck Airport","South Africa","Phalaborwa","https://www.worlddata.info/africa/south-africa/airports.php"
"PHX","KPHX","Phoenix Sky Harbor International Airport","United States of America","Phoenix","https://www.worlddata.info/america/usa/airports.php"
"PHY","VTPB","Phetchabun Airport","Thailand",,"https://www.worlddata.info/asia/thailand/airports.php"
"PIA","KPIA","General Wayne A. Downing Peoria International Airport","United States of America","Peoria","https://www.worlddata.info/america/usa/airports.php"
"PIB","KPIB","Hattiesburg Laurel Regional Airport","United States of America","Moselle","https://www.worlddata.info/america/usa/airports.php"
"PIC","MBPI","Pine Cay Airport","Turks and Caicos Islands","Pine Cay","https://www.worlddata.info/america/turks-and-caicos-islands/airports.php"
"PIE","KPIE","St. Petersburg Clearwater International Airport","United States of America","Pinellas Park","https://www.worlddata.info/america/usa/airports.php"
"PIF","RCSQ","Pingtung North Airport","Taiwan","Pingtung","https://www.worlddata.info/asia/taiwan/airports.php"
"PIH","KPIH","Pocatello Regional Airport","United States of America","Pocatello","https://www.worlddata.info/america/usa/airports.php"
"PIK","EGPK","Glasgow Prestwick Airport","United Kingdom","Prestwick, South Ayrshire","https://www.worlddata.info/europe/united-kingdom/airports.php"
"PIL","SGPI","Aeródromo Don Carlos Miguel Gimenez","Paraguay","Pilar","https://www.worlddata.info/america/paraguay/airports.php"
"PIM","KPIM","Harris County Airport","United States of America","Pine Mountain","https://www.worlddata.info/america/usa/airports.php"
"PIN","SWPI","Parintins Airport","Brazil","Parintins","https://www.worlddata.info/america/brazil/airports.php"
"PIO","SPSO","Captain Renán Elías Olivera International Airport","Peru","Pisco","https://www.worlddata.info/america/peru/airports.php"
"PIP","PAPN","Pilot Point Airport","United States of America","Pilot Point","https://www.worlddata.info/america/usa/airports.php"
"PIR","KPIR","Pierre Regional Airport","United States of America","Pierre","https://www.worlddata.info/america/usa/airports.php"
"PIS","LFBI","Poitiers-Biard Airport","France","Poitiers/Biard","https://www.worlddata.info/europe/france/airports.php"
"PIT","KPIT","Pittsburgh International Airport","United States of America","Pittsburgh","https://www.worlddata.info/america/usa/airports.php"
"PIU","SPUR","Capitán FAP Guillermo Concha Iberico International Airport","Peru","Piura","https://www.worlddata.info/america/peru/airports.php"
"PIV","SNPX","Pirapora Airport","Brazil","Pirapora","https://www.worlddata.info/america/brazil/airports.php"
"PIW","CZMN","Pikwitonei Airport","Canada","Pikwitonei","https://www.worlddata.info/america/canada/airports.php"
"PIX","LPPI","Pico Airport","Portugal","Pico Island","https://www.worlddata.info/europe/portugal/airports.php"
"PIZ","PPIZ","Point Lay LRRS Airport","United States of America","Point Lay","https://www.worlddata.info/america/usa/airports.php"
"PJA","ESUP","Pajala Airport","Sweden",,"https://www.worlddata.info/europe/sweden/airports.php"
"PJB","KPAN","Payson Airport","United States of America","Payson","https://www.worlddata.info/america/usa/airports.php"
"PJC","SGPJ","Dr. Augusto Roberto Fuster Airport","Paraguay","Pedro Juan Caballero","https://www.worlddata.info/america/paraguay/airports.php"
"PJG","OPPG","Panjgur Airport","Pakistan","Panjgur","https://www.worlddata.info/asia/pakistan/airports.php"
