"IATA","ICAO","Airport name","Country","City","Information"
"BWX",,"Banyuwangi International Airport","Indonesia","Banyuwangi","https://www.worlddata.info/asia/indonesia/airports.php"
"BXA","KBXA","George R Carr Memorial Air Field","United States of America","Bogalusa","https://www.worlddata.info/america/usa/airports.php"
"BXB","WASO","Babo Airport","Indonesia","Babo","https://www.worlddata.info/asia/indonesia/airports.php"
"BXD","WAKE","Bade Airport","Indonesia","Bade","https://www.worlddata.info/asia/indonesia/airports.php"
"BXE","GOTB","Bakel Airport","Senegal","Bakel","https://www.worlddata.info/africa/senegal/airports.php"
"BXF","YBEB","Bellburn Airstrip","Australia","Pumululu National Park","https://www.worlddata.info/oceania/australia/airports.php"
"BXG","YBDG","Bendigo Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"BXH","UAAH","Balkhash Airport","Kazakhstan","Balkhash","https://www.worlddata.info/asia/kazakhstan/airports.php"
"BXI","DIBI","Boundiali Airport","Ivory Coast","Boundiali","https://www.worlddata.info/africa/ivory-coast/airports.php"
"BXJ","UAAR","Boralday Airport","Kazakhstan","Boralday","https://www.worlddata.info/asia/kazakhstan/airports.php"
"BXK","KBXK","Buckeye Municipal Airport","United States of America","Buckeye","https://www.worlddata.info/america/usa/airports.php"
"BXM",,"Batom Airport","Indonesia","Batom","https://www.worlddata.info/asia/indonesia/airports.php"
"BXN","LTBV","Bodrum-Imsık Airport","Turkey","Imsık","https://www.worlddata.info/asia/turkey/airports.php"
"BXO","LSZC","Buochs Airport","Switzerland","Buochs","https://www.worlddata.info/europe/switzerland/airports.php"
"BXR","OIKM","Bam Airport","Iran","Bam","https://www.worlddata.info/asia/iran/airports.php"
"BXS",,"Borrego Valley Airport","United States of America","Borrego Springs","https://www.worlddata.info/america/usa/airports.php"
"BXT","WRLC","Bontang Airport","Indonesia","Bontang-Borneo Island","https://www.worlddata.info/asia/indonesia/airports.php"
"BXU","RPME","Bancasi Airport","Philippines","Butuan","https://www.worlddata.info/asia/philippines/airports.php"
"BXV","BIBV","Breiðdalsvík Airport","Iceland","Breiðdalsvík","https://www.worlddata.info/europe/iceland/airports.php"
"BXW",,"Bawean - Harun Thohir Airport","Indonesia","Bawean","https://www.worlddata.info/asia/indonesia/airports.php"
"BXX",,"Borama Airport","Somalia","Borama","https://www.worlddata.info/africa/somalia/airports.php"
"BXY",,"Baikonur Krayniy Airport","Kazakhstan","Baikonur","https://www.worlddata.info/asia/kazakhstan/airports.php"
"BXZ",,"Bunsil Airport","Papua New Guinea","Bunsil - Umboi Island","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"BYA",,"Boundary Airport","United States of America","Boundary","https://www.worlddata.info/america/usa/airports.php"
"BYB",,"Dibba Airport","Oman","Dibba al Baya","https://www.worlddata.info/asia/oman/airports.php"
"BYC","SLYA","Yacuiba Airport","Bolivia","Yacuíba","https://www.worlddata.info/america/bolivia/airports.php"
"BYD","OYBI","Al-Bayda Airport","Yemen","Al-Bayda","https://www.worlddata.info/asia/yemen/airports.php"
"BYF","LFAQ","Albert-Picardie Airport","France","Méaulte, Somme","https://www.worlddata.info/europe/france/airports.php"
"BYG","KBYG","Johnson County Airport","United States of America","Buffalo","https://www.worlddata.info/america/usa/airports.php"
"BYH","KBYH","Arkansas International Airport","United States of America","Blytheville","https://www.worlddata.info/america/usa/airports.php"
"BYI","KBYI","Burley Municipal Airport","United States of America","Burley","https://www.worlddata.info/america/usa/airports.php"
"BYJ","LPBJ","Beja Airport / Airbase","Portugal","Beja","https://www.worlddata.info/europe/portugal/airports.php"
"BYK","DIBK","Bouaké Airport","Ivory Coast","Bouaké","https://www.worlddata.info/africa/ivory-coast/airports.php"
"BYL",,"Bella Yella Airport","Liberia","Beliyela","https://www.worlddata.info/africa/liberia/airports.php"
"BYM","MUBY","Carlos Manuel de Cespedes Airport","Cuba","Bayamo","https://www.worlddata.info/america/cuba/airports.php"
"BYN","ZMBH","Bayankhongor Airport","Mongolia","Bayankhongor","https://www.worlddata.info/asia/mongolia/airports.php"
"BYO","SBDB","Bonito Airport","Brazil","Bonito","https://www.worlddata.info/america/brazil/airports.php"
"BYP","YBRY","Barimunya Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"BYQ","WALV","Bunyu Airport","Indonesia","Bunju Island","https://www.worlddata.info/asia/indonesia/airports.php"
"BYR","EKLS","Læsø Airport","Denmark","Læsø","https://www.worlddata.info/europe/denmark/airports.php"
"BYS","KBYS","Bicycle Lake Army Air Field","United States of America","Fort Irwin/Barstow","https://www.worlddata.info/america/usa/airports.php"
"BYT","EIBN","Bantry Aerodrome","Ireland","Bantry","https://www.worlddata.info/europe/ireland/airports.php"
"BYU","EDQD","Bayreuth Airport","Germany","Bindlach","https://www.worlddata.info/europe/germany/airports.php"
"BYW",,"Blakely Island Airport","United States of America","Blakely Island","https://www.worlddata.info/america/usa/airports.php"
"BYX",,"Baniyala Airport","Australia","Baniyala","https://www.worlddata.info/oceania/australia/airports.php"
"BZA","MNBZ","San Pedro Airport","Nicaragua","Bonanza","https://www.worlddata.info/america/nicaragua/airports.php"
"BZB",,"Bazaruto Island Airport","Mozambique","Bazaruto Island","https://www.worlddata.info/africa/mozambique/airports.php"
"BZC","SBBZ","Umberto Modiano Airport","Brazil","Cabo Frio","https://www.worlddata.info/america/brazil/airports.php"
"BZD","YBRN","Balranald Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"BZE","MZBZ","Philip S. W. Goldson International Airport","Belize","Belize City","https://www.worlddata.info/america/belize/airports.php"
"BZF",,"Benton Field","United States of America","Redding","https://www.worlddata.info/america/usa/airports.php"
"BZG","EPBY","Bydgoszcz Ignacy Jan Paderewski Airport","Poland","Białe Błota","https://www.worlddata.info/europe/poland/airports.php"
"BZH","FVBM","Bumi Hills Airport","Zimbabwe","Bumi","https://www.worlddata.info/africa/zimbabwe/airports.php"
"BZI","LTBF","Balıkesir Airport","Turkey","Balıkesir","https://www.worlddata.info/asia/turkey/airports.php"
"BZK","UUBP","Bryansk Airport","Russia","Bryansk","https://www.worlddata.info/europe/russia/airports.php"
"BZL","VGBR","Barisal Airport","Bangladesh","Barisal","https://www.worlddata.info/asia/bangladesh/airports.php"
"BZM",,"Bemolanga Airport","Madagascar","Bemolanga","https://www.worlddata.info/africa/madagascar/airports.php"
"BZN","KBZN","Bozeman Yellowstone International Airport","United States of America","Bozeman","https://www.worlddata.info/america/usa/airports.php"
"BZO","LIPB","Bolzano Airport","Italy","Bolzano (BZ)","https://www.worlddata.info/europe/italy/airports.php"
"BZP","YBIZ","Bizant Airport","Australia","Lakefield National Park","https://www.worlddata.info/oceania/australia/airports.php"
"BZR","LFMU","Béziers-Vias Airport","France","Béziers/Vias","https://www.worlddata.info/europe/france/airports.php"
"BZT",,"Eagle Air Park","United States of America","Brazoria","https://www.worlddata.info/america/usa/airports.php"
"BZU","FZKJ","Buta Zega Airport","Democratic Republic of the Congo","Buta","https://www.worlddata.info/africa/congo-kinshasa/airports.php"
"BZV","FCBB","Maya-Maya Airport","Republic of the Congo","Brazzaville","https://www.worlddata.info/africa/congo-brazzaville/airports.php"
"BZX",,"Bazhong Enyang Airport","China","Bazhong (Enyang)","https://www.worlddata.info/asia/china/airports.php"
"BZY","LUBL","Bălți International Airport","Moldova","Bălți","https://www.worlddata.info/europe/moldova/airports.php"
"BZZ","EGVN","RAF Brize Norton","United Kingdom","Carterton, Oxfordshire","https://www.worlddata.info/europe/united-kingdom/airports.php"
"CAB","FNCA","Cabinda Airport","Angola","Cabinda","https://www.worlddata.info/africa/angola/airports.php"
"CAC","SBCA","Coronel Adalberto Mendes da Silva Airport","Brazil","Cascavel","https://www.worlddata.info/america/brazil/airports.php"
"CAD","KCAD","Wexford County Airport","United States of America","Cadillac","https://www.worlddata.info/america/usa/airports.php"
"CAE","KCAE","Columbia Metropolitan Airport","United States of America","Columbia","https://www.worlddata.info/america/usa/airports.php"
"CAF","SWCA","Carauari Airport","Brazil","Carauari","https://www.worlddata.info/america/brazil/airports.php"
"CAG","LIEE","Cagliari Elmas Airport","Italy","Cagliari","https://www.worlddata.info/europe/italy/airports.php"
"CAH","VVCM","Cà Mau Airport","Vietnam","Ca Mau City","https://www.worlddata.info/asia/vietnam/airports.php"
"CAI","HECA","Cairo International Airport","Egypt","Cairo","https://www.worlddata.info/africa/egypt/airports.php"
"CAJ","SVCN","Canaima Airport","Venezuela","Canaima","https://www.worlddata.info/america/venezuela/airports.php"
"CAK","KCAK","Akron Canton Regional Airport","United States of America","Akron","https://www.worlddata.info/america/usa/airports.php"
"CAL","EGEC","Campbeltown Airport","United Kingdom","Campbeltown","https://www.worlddata.info/europe/united-kingdom/airports.php"
"CAM","SLCA","Camiri Airport","Bolivia","Camiri","https://www.worlddata.info/america/bolivia/airports.php"
"CAN","ZGGG","Guangzhou Baiyun International Airport","China","Guangzhou (Huadu)","https://www.worlddata.info/asia/china/airports.php"
"CAO","KCAO","Clayton Municipal Airpark","United States of America","Clayton","https://www.worlddata.info/america/usa/airports.php"
"CAP","MTCH","Cap Haitien International Airport","Haiti","Cap Haitien","https://www.worlddata.info/america/haiti/airports.php"
"CAQ","SKCU","Juan H White Airport","Colombia","Caucasia","https://www.worlddata.info/america/colombia/airports.php"
"CAR","KCAR","Caribou Municipal Airport","United States of America","Caribou","https://www.worlddata.info/america/usa/airports.php"
"CAT","LPCS","Cascais Airport","Portugal","Cascais","https://www.worlddata.info/europe/portugal/airports.php"
"CAU","SNRU","Caruaru Airport","Brazil","Caruaru","https://www.worlddata.info/america/brazil/airports.php"
"CAV","FNCZ","Cazombo Airport","Angola","Cazombo","https://www.worlddata.info/africa/angola/airports.php"
"CAW","SBCP","Bartolomeu Lisandro Airport","Brazil","Campos Dos Goytacazes","https://www.worlddata.info/america/brazil/airports.php"
"CAX","EGNC","Carlisle Lake District Airport","United Kingdom","Carlisle","https://www.worlddata.info/europe/united-kingdom/airports.php"
"CAY","SOCA","Cayenne – Félix Eboué Airport","French Guiana","Matoury","https://www.worlddata.info/america/french-guiana/airports.php"
"CAZ","YCBA","Cobar Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CBB","SLCB","Jorge Wilsterman International Airport","Bolivia","Cochabamba","https://www.worlddata.info/america/bolivia/airports.php"
"CBC",,"Cherrabun Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CBD","VOCX","Car Nicobar Air Force Base","India","IAF Camp","https://www.worlddata.info/asia/india/airports.php"
"CBE","KCBE","Greater Cumberland Regional Airport","United States of America","Wiley Ford","https://www.worlddata.info/america/usa/airports.php"
"CBF","KCBF","Council Bluffs Municipal Airport","United States of America","Council Bluffs","https://www.worlddata.info/america/usa/airports.php"
"CBG","EGSC","Cambridge City Airport","United Kingdom","Cambridge, Cambridgeshire","https://www.worlddata.info/europe/united-kingdom/airports.php"
"CBH","DAOR","Béchar Boudghene Ben Ali Lotfi Airport","Algeria","Béchar","https://www.worlddata.info/africa/algeria/airports.php"
"CBI","YCBN","Cape Barren Island Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CBJ","MDCR","Cabo Rojo Airport","Dominican Republic","Cabo Rojo","https://www.worlddata.info/america/dominican-republic/airports.php"
"CBK","KCBK","Shalz Field","United States of America","Colby","https://www.worlddata.info/america/usa/airports.php"
"CBL","SVCB","Aeropuerto General Tomas de Heres . Ciudad Bolivar","Venezuela",,"https://www.worlddata.info/america/venezuela/airports.php"
"CBM","KCBM","Columbus Air Force Base","United States of America","Columbus","https://www.worlddata.info/america/usa/airports.php"
"CBN","WICD","Penggung Airport","Indonesia","Cirebon-Java Island","https://www.worlddata.info/asia/indonesia/airports.php"
"CBO","RPMC","Cotabato (Awang) Airport","Philippines","Datu Odin Sinsuat","https://www.worlddata.info/asia/philippines/airports.php"
"CBP","LPCO","Aerodromo Municipal de Coimbra","Portugal","Coimbra","https://www.worlddata.info/europe/portugal/airports.php"
"CBQ","DNCA","Margaret Ekpo International Airport","Nigeria","Calabar","https://www.worlddata.info/africa/nigeria/airports.php"
"CBR","YSCB","Canberra International Airport","Australia","Canberra","https://www.worlddata.info/oceania/australia/airports.php"
"CBS","SVON","Oro Negro Airport","Venezuela","Cabimas","https://www.worlddata.info/america/venezuela/airports.php"
"CBT","FNCT","Catumbela Airport","Angola","Catumbela","https://www.worlddata.info/africa/angola/airports.php"
"CBV","MGCB","Coban Airport","Guatemala","Coban","https://www.worlddata.info/america/guatemala/airports.php"
"CBW","SSKM","Campo Mourão Airport","Brazil","Campo Mourão","https://www.worlddata.info/america/brazil/airports.php"
"CBX","YCDO","Condobolin Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CBY","YCBE","Canobie Airport","Australia","Canobie","https://www.worlddata.info/oceania/australia/airports.php"
"CCA","SLCH","Chimore Airport","Bolivia","Chimore","https://www.worlddata.info/america/bolivia/airports.php"
"CCB","KCCB","Cable Airport","United States of America","Upland","https://www.worlddata.info/america/usa/airports.php"
"CCC","MUCC","Jardines Del Rey Airport","Cuba","Cayo Coco","https://www.worlddata.info/america/cuba/airports.php"
"CCE","HECP","Capital International Airport","Egypt","New Cairo","https://www.worlddata.info/africa/egypt/airports.php"
"CCF","LFMK","Carcassonne Airport","France","Carcassonne/Salvaza","https://www.worlddata.info/europe/france/airports.php"
"CCG",,"Crane County Airport","United States of America","Crane","https://www.worlddata.info/america/usa/airports.php"
"CCH","SCCC","Chile Chico Airport","Chile","Chile Chico","https://www.worlddata.info/america/chile/airports.php"
"CCI","SSCK","Olavo Cecco Rigon Airport","Brazil","Concórdia","https://www.worlddata.info/america/brazil/airports.php"
"CCJ","VOCL","Calicut International Airport","India","Calicut","https://www.worlddata.info/asia/india/airports.php"
"CCK","YPCC","Cocos (Keeling) Islands Airport","Cocos (Keeling) Islands","West Island","https://www.worlddata.info/oceania/cocos-islands/airports.php"
"CCL","YCCA","Chinchilla Airport","Australia","Chinchilla","https://www.worlddata.info/oceania/australia/airports.php"
"CCM","SBCM","Forquilhinha - Criciúma Airport","Brazil","Criciúma","https://www.worlddata.info/america/brazil/airports.php"
"CCN","OACC","Chaghcharan Airport","Afghanistan","Chaghcharan","https://www.worlddata.info/asia/afghanistan/airports.php"
"CCO","SKCI","Carimagua Airport","Colombia","Puerto López","https://www.worlddata.info/america/colombia/airports.php"
"CCP","SCIE","Carriel Sur Airport","Chile","Concepcion","https://www.worlddata.info/america/chile/airports.php"
"CCR","KCCR","Buchanan Field","United States of America","Concord","https://www.worlddata.info/america/usa/airports.php"
"CCS","SVMI","Simón Bolívar International Airport","Venezuela","Caracas","https://www.worlddata.info/america/venezuela/airports.php"
"CCU","VECC","Netaji Subhash Chandra Bose International Airport","India","Kolkata","https://www.worlddata.info/asia/india/airports.php"
"CCV","NVSF","Craig Cove Airport","Vanuatu","Craig Cove","https://www.worlddata.info/oceania/vanuatu/airports.php"
"CCW","YCWL","Cowell Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CCX","SWKC","Cáceres Airport","Brazil","Cáceres","https://www.worlddata.info/america/brazil/airports.php"
"CCY","KCCY","Northeast Iowa Regional Airport","United States of America","Charles City","https://www.worlddata.info/america/usa/airports.php"
"CCZ","MYBC","Chub Cay Airport","Bahamas",,"https://www.worlddata.info/america/bahamas/airports.php"
"CDA","YCOO","Cooinda Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CDB","PACD","Cold Bay Airport","United States of America","Cold Bay","https://www.worlddata.info/america/usa/airports.php"
"CDC","KCDC","Cedar City Regional Airport","United States of America","Cedar City","https://www.worlddata.info/america/usa/airports.php"
"CDD","MHCU","Cauquira Airport","Honduras","Cauquira","https://www.worlddata.info/america/honduras/airports.php"
"CDE","ZBCD","Chengde Puning Airport","China","Chengde","https://www.worlddata.info/asia/china/airports.php"
"CDG","LFPG","Charles de Gaulle International Airport","France","Paris (Roissy-en-France, Val-d'Oise)","https://www.worlddata.info/europe/france/airports.php"
"CDH","KCDH","Harrell Field","United States of America","Camden","https://www.worlddata.info/america/usa/airports.php"
"CDI","SNKI","Cachoeiro do Itapemirim - Raimundo de Andrade Airport","Brazil","Cachoeiro do Itapemirim","https://www.worlddata.info/america/brazil/airports.php"
"CDJ","SBAA","Conceição do Araguaia Airport","Brazil","Conceição do Araguaia","https://www.worlddata.info/america/brazil/airports.php"
"CDL",,"Candle 2 Airport","United States of America","Candle","https://www.worlddata.info/america/usa/airports.php"
"CDN","KCDN","Woodward Field","United States of America","Camden","https://www.worlddata.info/america/usa/airports.php"
"CDO","FACD","Cradock Airport","South Africa","Cradock","https://www.worlddata.info/africa/south-africa/airports.php"
"CDP","VOCP","Kadapa Airport","India","Kadapa","https://www.worlddata.info/asia/india/airports.php"
"CDQ","YCRY","Croydon Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CDR","KCDR","Chadron Municipal Airport","United States of America","Chadron","https://www.worlddata.info/america/usa/airports.php"
"CDS","KCDS","Childress Municipal Airport","United States of America","Childress","https://www.worlddata.info/america/usa/airports.php"
"CDT","LECH","Castellón-Costa Azahar Airport","Spain","Castellón de la Plana","https://www.worlddata.info/europe/spain/airports.php"
"CDU","YSCN","Camden Airport","Australia","Cobbitty","https://www.worlddata.info/oceania/australia/airports.php"
"CDV","PACV","Merle K (Mudhole) Smith Airport","United States of America","Cordova","https://www.worlddata.info/america/usa/airports.php"
"CDW","KCDW","Essex County Airport","United States of America","Caldwell","https://www.worlddata.info/america/usa/airports.php"
"CDY","RPMU","Cagayan de Sulu Airport","Philippines","Mapun","https://www.worlddata.info/asia/philippines/airports.php"
"CEA","KCEA","Cessna Aircraft Field","United States of America","Wichita","https://www.worlddata.info/america/usa/airports.php"
"CEB","RPVM","Mactan Cebu International Airport","Philippines","Lapu-Lapu City","https://www.worlddata.info/asia/philippines/airports.php"
"CEC","KCEC","Jack Mc Namara Field Airport","United States of America","Crescent City","https://www.worlddata.info/america/usa/airports.php"
"CED","YCDU","Ceduna Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CEE","ULBC","Cherepovets Airport","Russia","Cherepovets","https://www.worlddata.info/europe/russia/airports.php"
"CEF","KCEF","Westover Metropolitan Airport / Westover Air Reserve Base","United States of America","Chicopee","https://www.worlddata.info/america/usa/airports.php"
"CEG","EGNR","Hawarden Airport","United Kingdom","Broughton","https://www.worlddata.info/europe/united-kingdom/airports.php"
"CEH","FWCD","Chelinda Malawi Airport","Malawi",,"https://www.worlddata.info/africa/malawi/airports.php"
"CEI","VTCT","Mae Fah Luang - Chiang Rai International Airport","Thailand","Chiang Rai","https://www.worlddata.info/asia/thailand/airports.php"
"CEK","USCC","Chelyabinsk Balandino Airport","Russia","Chelyabinsk","https://www.worlddata.info/europe/russia/airports.php"
"CEL","SSCN","Canela Airport","Brazil","Canela","https://www.worlddata.info/america/brazil/airports.php"
"CEM","PACE","Central Airport","United States of America","Central","https://www.worlddata.info/america/usa/airports.php"
"CEN","MMCN","Ciudad Obregón International Airport","Mexico","Ciudad Obregón","https://www.worlddata.info/america/mexico/airports.php"
"CEO","FNWK","Waco Kungo Airport","Angola","Waco Kungo","https://www.worlddata.info/africa/angola/airports.php"
"CEP","SLCP","Concepción Airport","Bolivia","Concepción","https://www.worlddata.info/america/bolivia/airports.php"
"CEQ","LFMD","Cannes-Mandelieu Airport","France","Cannes, Alpes-Maritimes","https://www.worlddata.info/europe/france/airports.php"
"CER","LFRC","Cherbourg-Maupertus Airport","France","Gonneville-Le Theil, Manche","https://www.worlddata.info/europe/france/airports.php"
"CES","YCNK","Cessnock Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CET","LFOU","Cholet Le Pontreau Airfield","France","Cholet/Le Pontreau","https://www.worlddata.info/europe/france/airports.php"
"CEU","KCEU","Oconee County Regional Airport","United States of America","Clemson","https://www.worlddata.info/america/usa/airports.php"
"CEV","KCEV","Mettel Field","United States of America","Connersville","https://www.worlddata.info/america/usa/airports.php"
"CEW","KCEW","Bob Sikes Airport","United States of America","Crestview","https://www.worlddata.info/america/usa/airports.php"
"CEX",,"Chena Hot Springs Airport","United States of America","Chena Hot Springs","https://www.worlddata.info/america/usa/airports.php"
"CEY","KCEY","Murray-Calloway County Airport Kyle-Oakley Field","United States of America","Murray","https://www.worlddata.info/america/usa/airports.php"
"CEZ","KCEZ","Cortez Municipal Airport","United States of America","Cortez","https://www.worlddata.info/america/usa/airports.php"
"CFB","SBCB","Cabo Frio Airport","Brazil","Cabo Frio","https://www.worlddata.info/america/brazil/airports.php"
"CFC","SBCD","Caçador Airport","Brazil","Caçador","https://www.worlddata.info/america/brazil/airports.php"
"CFD","KCFD","Coulter Field","United States of America","Bryan","https://www.worlddata.info/america/usa/airports.php"
"CFE","LFLC","Clermont-Ferrand Auvergne Airport","France","Aulnat, Puy-de-Dôme","https://www.worlddata.info/europe/france/airports.php"
"CFF","FNCF","Cafunfo Airport","Angola","Cafunfo","https://www.worlddata.info/africa/angola/airports.php"
"CFG","MUCF","Jaime Gonzalez Airport","Cuba","Cienfuegos","https://www.worlddata.info/america/cuba/airports.php"
"CFH","YCFH","Clifton Hills Airport","Australia","Clifton Hills","https://www.worlddata.info/oceania/australia/airports.php"
"CFI","YCFD","Camfield Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CFK","DAOI","Chlef Aboubakr Belkaid International Airport","Algeria","Chlef","https://www.worlddata.info/africa/algeria/airports.php"
"CFM",,"Conklin (Leismer) Airport","Canada","Conklin","https://www.worlddata.info/america/canada/airports.php"
"CFN","EIDL","Donegal Airport","Ireland","Donegal","https://www.worlddata.info/europe/ireland/airports.php"
"CFO","SJHG","Confresa Airport","Brazil","Confresa","https://www.worlddata.info/america/brazil/airports.php"
"CFP","YCPN","Carpentaria Downs Airport","Australia","Carpentaria Downs","https://www.worlddata.info/oceania/australia/airports.php"
"CFQ",,"Creston Valley Regional Airport - Art Sutcliffe Field","Canada","Creston","https://www.worlddata.info/america/canada/airports.php"
"CFR","LFRK","Caen-Carpiquet Airport","France","Carpiquet, Calvados","https://www.worlddata.info/europe/france/airports.php"
"CFS","YCFS","Coffs Harbour Airport","Australia","Coffs Harbour","https://www.worlddata.info/oceania/australia/airports.php"
"CFT","KCFT","Greenlee County Airport","United States of America","Clifton","https://www.worlddata.info/america/usa/airports.php"
"CFU","LGKR","Corfu Ioannis Kapodistrias International Airport","Greece","Kerkyra (Corfu)","https://www.worlddata.info/europe/greece/airports.php"
"CFV","KCFV","Coffeyville Municipal Airport","United States of America","Coffeyville","https://www.worlddata.info/america/usa/airports.php"
"CGB","SBCY","Marechal Rondon Airport","Brazil","Cuiabá","https://www.worlddata.info/america/brazil/airports.php"
"CGC",,"Cape Gloucester Airport","Papua New Guinea","Cape Gloucester","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"CGD","ZGCD","Changde Taohuayuan Airport","China","Changde (Dingcheng)","https://www.worlddata.info/asia/china/airports.php"
"CGE","KCGE","Cambridge Dorchester Airport","United States of America","Cambridge","https://www.worlddata.info/america/usa/airports.php"
"CGF","KCGF","Cuyahoga County Airport","United States of America","Cleveland","https://www.worlddata.info/america/usa/airports.php"
"CGG",,"Casiguran Airport","Philippines","Casiguran","https://www.worlddata.info/asia/philippines/airports.php"
"CGH","SBSP","Congonhas Airport","Brazil","São Paulo","https://www.worlddata.info/america/brazil/airports.php"
"CGI","KCGI","Cape Girardeau Regional Airport","United States of America","Cape Girardeau","https://www.worlddata.info/america/usa/airports.php"
"CGJ","FLKE","Kasompe Airport","Zambia","Chingola","https://www.worlddata.info/africa/zambia/airports.php"
"CGK","WIII","Soekarno-Hatta International Airport","Indonesia","Jakarta","https://www.worlddata.info/asia/indonesia/airports.php"
"CGM","RPMH","Camiguin Airport","Philippines","Mambajao","https://www.worlddata.info/asia/philippines/airports.php"
"CGN","EDDK","Cologne Bonn Airport","Germany","Köln (Cologne)","https://www.worlddata.info/europe/germany/airports.php"
"CGO","ZHCC","Zhengzhou Xinzheng International Airport","China","Zhengzhou","https://www.worlddata.info/asia/china/airports.php"
"CGP","VGEG","Shah Amanat International Airport","Bangladesh","Chattogram (Chittagong)","https://www.worlddata.info/asia/bangladesh/airports.php"
"CGQ","ZYCC","Changchun Longjia International Airport","China","Changchun","https://www.worlddata.info/asia/china/airports.php"
"CGR","SBCG","Campo Grande Airport","Brazil","Campo Grande","https://www.worlddata.info/america/brazil/airports.php"
"CGS","KCGS","College Park Airport","United States of America","College Park","https://www.worlddata.info/america/usa/airports.php"
"CGV","YCAG","Caiguna Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"CGY",,"Laguindingan International Airport","Philippines","Cagayan de Oro","https://www.worlddata.info/asia/philippines/airports.php"
"CGZ","KCGZ","Casa Grande Municipal Airport","United States of America","Casa Grande","https://www.worlddata.info/america/usa/airports.php"
"CHA","KCHA","Chattanooga Metropolitan Airport (Lovell Field)","United States of America","Chattanooga","https://www.worlddata.info/america/usa/airports.php"
"CHB","OPCL","Chilas Airport","Pakistan","Chilas","https://www.worlddata.info/asia/pakistan/airports.php"
"CHC","NZCH","Christchurch International Airport","New Zealand","Christchurch","https://www.worlddata.info/oceania/new-zealand/airports.php"
"CHF","RKPE","Jinhae Air Base","South Korea","Jinhae","https://www.worlddata.info/asia/south-korea/airports.php"
"CHG","ZYCY","Chaoyang Airport","China","Shuangta, Chaoyang","https://www.worlddata.info/asia/china/airports.php"
"CHH","SPPY","Chachapoyas Airport","Peru","Chachapoyas","https://www.worlddata.info/america/peru/airports.php"
"CHJ","FVCH","Chipinge Airport","Zimbabwe","Chipinge","https://www.worlddata.info/africa/zimbabwe/airports.php"
"CHK","KCHK","Chickasha Municipal Airport","United States of America","Chickasha","https://www.worlddata.info/america/usa/airports.php"
"CHL","KLLJ","Challis Airport","United States of America","Challis","https://www.worlddata.info/america/usa/airports.php"
"CHM","SPEO","FAP Lieutenant Jaime Andres de Montreuil Morales Airport","Peru","Chimbote","https://www.worlddata.info/america/peru/airports.php"
"CHN","RKJU","Jeonju (G 703) Air Base","South Korea","Jeonju","https://www.worlddata.info/asia/south-korea/airports.php"
"CHO","KCHO","Charlottesville Albemarle Airport","United States of America","Charlottesville","https://www.worlddata.info/america/usa/airports.php"
"CHP",,"Circle Hot Springs Airport","United States of America","Circle Hot Springs","https://www.worlddata.info/america/usa/airports.php"
"CHQ","LGSA","Chania International Airport","Greece","Souda","https://www.worlddata.info/europe/greece/airports.php"
"CHR","LFLX","Châteauroux-Déols Marcel Dassault Airport","France","Châteauroux/Déols","https://www.worlddata.info/europe/france/airports.php"
"CHS","KCHS","Charleston International Airport","United States of America","Charleston","https://www.worlddata.info/america/usa/airports.php"
"CHT","NZCI","Chatham Islands / Tuuta Airport","New Zealand","Te One","https://www.worlddata.info/oceania/new-zealand/airports.php"
"CHU",,"Chuathbaluk Airport","United States of America","Chuathbaluk","https://www.worlddata.info/america/usa/airports.php"
"CHV","LPCH","Aerodromo de Chaves","Portugal","Chaves","https://www.worlddata.info/europe/portugal/airports.php"
"CHX","MPCH","Changuinola Captain Manuel Niño International Airport","Panama","Changuinola","https://www.worlddata.info/america/panama/airports.php"
"CHY","AGGC","Choiseul Bay Airport","Solomon Islands",,"https://www.worlddata.info/oceania/solomon-islands/airports.php"
"CHZ",,"Chiloquin State Airport","United States of America","Chiloquin","https://www.worlddata.info/america/usa/airports.php"
"CIA","LIRA","Ciampino–G. B. Pastine International Airport","Italy","Rome","https://www.worlddata.info/europe/italy/airports.php"
"CIC","KCIC","Chico Regional Airport","United States of America","Chico","https://www.worlddata.info/america/usa/airports.php"
"CID","KCID","The Eastern Iowa Airport","United States of America","Cedar Rapids","https://www.worlddata.info/america/usa/airports.php"
